10	Preparatory systems
90-55-10/470	Intumescent linear gap seals	90-55-10
90-55-15	Cables	90-55
90-55-15/310	High voltage cables generally	90-55-15
90-55-15/311	High voltage extruded insulation cables	90-55-15
90-55-15/312	High voltage low smoke thermosetting insulated cables	90-55-15
90-55-15/313	High voltage paper insulated cables	90-55-15
90-55-15/314	High voltage thermosetting insulated cables	90-55-15
90-55-15/315	High voltage cable terminations	90-55-15
90-55-15/320	Anti vandal capping	90-55-15
90-55-15/321	Underground plastics cable protection covers	90-55-15
90-55-15/332	Underground concrete cable protection covers	90-55-15
90-55-15/333	Underground cable marker tape	90-55-15
90-55-15/334	Plastics ducts for underground cables	90-55-15
90-55-15/340	Flexible cords	90-55-15
90-55-15/341	Industrial flexible cords	90-55-15
90-55-15/342	Fire resistant, insulated and sheathed cables	90-55-15
90-55-15/343	Fire resistant, insulated and sheathed armoured cables	90-55-15
90-55-15/344	Mineral insulated cables	90-55-15
90-55-15/345	PVC insulated cables	90-55-15
90-55-15/346	PVC insulated cables for interconnecting wiring	90-55-15
90-55-15/347	PVC insulated cables for switchgear and control gear	90-55-15
90-55-15/349	Single-core heat resisting insulating cables	90-55-15
90-55-15/350	Split concentric, insulated and sheathed cables	90-55-15
90-55-15/351	Thermosetting insulated cables	90-55-15
90-55-15/352	Thermosetting insulated and PVC sheathed cables (XLPE/ PVC singles)	90-55-15
90-55-15/353	Thermosetting insulated and PVC sheathed armoured cables	90-55-15
90-55-15/354	Thermosetting insulated and LSZH sheathed armoured cables	90-55-15
90-55-15/355	Thermosetting insulated metal screened LSZH sheathed multicore cables	90-55-15
90-55-15/365	Information technology and telecommunications cabling	90-55-15
90-55-15/366	Balanced twisted-pair cables	90-55-15
90-55-15/367	Coaxial cables	90-55-15
90-55-15/368	Copper voice cables	90-55-15
90-55-15/369	Functional earth cables for telecommunications equipment	90-55-15
90-55-15/370	Microphone cables	90-55-15
90-55-15/371	Optical fibre cables	90-55-15
90-55-15/372	Patch cords	90-55-15
90-55-15/385	Prefabricated LSZH insulated singles in flexible conduit	90-55-15
90-55-15/386	Prefabricated LSZH insulated and sheathed multi-core	90-55-15
90-55-15/387	Connection cables	90-55-15
90-55-15/388	Extender cables	90-55-15
90-55-15/389	Home run cables	90-55-15
90-55-15/390	Starter leads	90-55-15
90-55-15/391	Lighting extender leads	90-55-15
90-55-15/392	Luminaire connection cables	90-55-15
90-55-15/393	RJ45 cables	90-55-15
90-55-15/394	Switch connection leads	90-55-15
90-55-15/395	T connectors	90-55-15
90-55-20	High voltage cables and accessories	90-55
90-55-20/310	High voltage cables generally	90-55-20
90-55-20/315	High voltage power cables with extruded insulation	90-55-20
90-55-20/320	High voltage power cables with low smoke thermosetting insulation	90-55-20
90-55-20/325	High voltage power cables with thermosetting insulation	90-55-20
90-55-20/330	Paper insulated high voltage power cables	90-55-20
90-55-20/340	High voltage cable terminations for extruded insulation cables	90-55-20
90-55-20/345	High voltage cable terminations for paper insulated cables	90-55-20
90-55-20/350	High voltage cold shrink cable joints	90-55-20
90-60	Electrical products	90
90-60-05	Batteries and chargers	90-60
90-60-05/310	d.c. battery charge controllers	90-60-05
90-60-05/320	Automatic battery chargers	90-60-05
90-60-05/330	Rechargeable dry cell battery chargers	90-60-05
90-60-05/340	Generator starting batteries	90-60-05
90-60-05/350	Separate central battery enclosures	90-60-05
90-60-05/360	Storage batteries	90-60-05
90-60-25	Electrical accessories	90-60
90-60-25/310	Products generally	90-60-25
90-60-25/315	Electrical accessories	90-60-25
90-60-25/320	Surface and concealed wiring enclosures	90-60-25
90-60-25/325	Light switches	90-60-25
90-60-25/330	Dimmer switches and controls	90-60-25
90-60-25/335	Fused connection units	90-60-25
90-60-25/340	Cable outlets	90-60-25
90-60-25/345	Standard socket outlets	90-60-25
90-60-25/350	Specialist socket outlets	90-60-25
90-60-25/355	Industrial socket outlets	90-60-25
90-60-25/360	Round pin socket outlets	90-60-25
90-60-25/365	Multi-gang power outlets	90-60-25
90-60-25/370	Industrial plugs	90-60-25
90-60-25/375	Cable couplers	90-60-25
90-60-25/380	Fan isolators	90-60-25
90-60-25/385	Single voltage shaver outlets	90-60-25
90-60-25/390	Shaver supply units	90-60-25
90-60-25/395	Double pole switches	90-60-25
90-60-25/400	Cooker control units	90-60-25
90-60-25/405	Cooker connection units	90-60-25
90-60-25/410	Ceiling power switches	90-60-25
90-60-25/415	Switch modules for prefabricated wiring	90-60-25
90-60-25/420	Ceiling light switches	90-60-25
90-60-25/425	Ceiling roses	90-60-25
90-60-25/430	Luminaire supporting couplers	90-60-25
90-60-25/435	Safety pendant lampholders	90-60-25
90-60-25/440	Safety pendant sets	90-60-25
90-60-25/445	Television outlets	90-60-25
90-60-25/450	Telecommunication outlets	90-60-25
90-60-25/455	Balanced twisted-pair cable outlets	90-60-25
90-60-25/460	Fibre optic cable outlets	90-60-25
90-60-25/465	RJ-45 to BT plug adaptors	90-60-25
90-60-25/480	Indicator lamps	90-60-25
90-60-25/485	Connection boxes	90-60-25
90-60-25/490	PV array junction boxes	90-60-25
90-60-30	Electrical protective devices	90-60
90-60-30/310	Air circuit breakers	90-60-30
90-60-30/320	Moulded case circuit breakers	90-60-30
90-60-30/330	Miniature circuit breakers	90-60-30
90-60-30/340	Residual current circuit breakers	90-60-30
90-60-30/350	Residual current circuit breakers with integral overcurrent protection	90-60-30
90-60-30/360	Low voltage fuses	90-60-30
90-60-30/370	Cartridge fuses	90-60-30
90-60-30/380	Fuse links	90-60-30
90-60-30/390	'J'-Type feeder pillar fuses	90-60-30
90-60-30/410	Transient overvoltage surge suppression devices for mains power supplies	90-60-30
90-60-30/420	Transient overvoltage surge suppression for plug in mains power supplies	90-60-30
90-60-30/430	Transient overvoltage surge suppression for data and telecom supplies	90-60-30
90-60-40	Inverters and power devices	90-60
90-60-40/310	Blocking diodes	90-60-40
90-60-40/320	Inverters	90-60-40
90-60-40/330	Power conditioning units	90-60-40
90-60-40/340	Turbine control unit	90-60-40
90-60-40/350	Voltage transformers	90-60-40
90-60-40/360	Automatic power factor correction equipment	90-60-40
90-60-40/370	Separate enclosures for power factor correction equipment	90-60-40
90-60-40/380	Active filters	90-60-40
90-60-40/390	Passive filters	90-60-40
90-60-40/400	Hybrid filters	90-60-40
90-60-40/410	Uninterruptible power supply (UPS) unit	90-60-40
90-60-40/420	Uninterruptible power supply (UPS) remote alarm and indicator panels	90-60-40
90-60-40/430	d.c. central battery supply units	90-60-40
90-60-40/440	Static inverter power supply units	90-60-40
90-60-45	Lighting columns, bollards and supports	90-60
90-60-45/310	Aluminium lighting columns	90-60-45
90-60-45/320	Steel lighting columns	90-60-45
90-60-45/330	Aluminium lighting pedestals	90-60-45
90-60-45/340	Steel lighting pedestals	90-60-45
90-60-45/350	Aluminium column luminaire brackets	90-60-45
90-60-45/360	Steel column luminaire brackets	90-60-45
90-60-45/370	Aluminium luminaire brackets	90-60-45
90-60-45/380	Steel luminaire brackets	90-60-45
90-60-50	Luminaires and lamps	90-60
90-60-50/310	Lamps generally	90-60-50
90-60-50/315	Tungsten filament lamps	90-60-50
90-60-50/320	Tungsten halogen lamps	90-60-50
90-60-50/325	Tubular fluorescent lamps	90-60-50
90-60-50/330	Two and four pin compact fluorescent lamps	90-60-50
90-60-50/335	Self ballasted compact fluorescent lamps	90-60-50
90-60-50/340	Metal halide lamps	90-60-50
90-60-50/345	High pressure sodium lamps	90-60-50
90-60-50/350	Low pressure sodium lamps	90-60-50
90-60-50/355	High pressure mercury lamps	90-60-50
90-60-50/360	Induction lamps	90-60-50
90-60-50/365	Bayonet lampholders	90-60-50
90-60-50/370	Edison screw lampholders	90-60-50
90-60-50/405	General purpose luminaires	90-60-50
90-60-50/410	Combined emergency luminaires	90-60-50
90-60-50/415	Dedicated slave emergency luminaires	90-60-50
90-60-50/420	Self contained emergency luminaires	90-60-50
90-60-50/425	Optical fibre emergency luminaires	90-60-50
90-60-50/430	Lighting tracks	90-60-50
90-60-50/440	Control gear generally	90-60-50
90-60-50/445	Luminaire changeover relays	90-60-50
90-60-50/450	Luminaire inverter modules	90-60-50
90-60-50/455	Luminaire smoke hoods	90-60-50
90-60-50/460	Hold-off relays	90-60-50
90-60-50/465	Sub-circuit relays	90-60-50
90-60-50/470	Separated extra-low voltage lighting transformers	90-60-50
90-60-50/475	Electrical low mounted way-guidance lighting modules	90-60-50
90-60-50/480	Electrical low mounted way-guidance lighting module housings	90-60-50
90-60-50/485	Electrical low mounted way-guidance lighting supply units	90-60-50
90-65	Control, monitoring and metering products	90
90-65-05	Automatic lighting controls	90-65
90-65-05/400	Automatic emergency lighting test panels	90-65-05
90-65-05/405	Central controllers	90-65-05
90-65-05/410	Combined daylight and occupancy detectors	90-65-05
90-65-05/415	Daylight sensors	90-65-05
90-65-05/420	Extra-low voltage occupancy detectors	90-65-05
90-65-05/425	Mains voltage occupancy detectors	90-65-05
90-65-05/430	Photoelectric control units	90-65-05
90-65-05/435	Remote infrared controllers	90-65-05
90-65-10	Computers and peripherals	90-65
90-65-10/310	Personal computers	90-65-10
90-65-10/320	Keyboard	90-65-10
90-65-10/330	Monitors	90-65-10
90-65-10/340	Card printers	90-65-10
90-65-10/350	Printers	90-65-10
90-65-10/360	Digital cameras	90-65-10
90-65-25	Electrical controls and starters	90-65
90-65-25/310	a.c. semiconductor motor controllers and starters	90-65-25
90-65-25/320	Direct-on-line starters	90-65-25
90-65-25/330	Star delta starters	90-65-25
90-65-25/340	Electromechanical contactors	90-65-25
90-65-25/350	a.c. drives	90-65-25
90-65-25/360	Electromechanical control circuit devices	90-65-25
90-65-25/370	Emergency stop buttons	90-65-25
90-65-25/380	Time switches	90-65-25
90-65-50	Mechanical services controls, sensors and detectors	90-65
90-65-50/310	Actuators	90-65-50
90-65-50/320	Alarms	90-65-50
90-65-50/330	Alarm devices	90-65-50
90-65-50/340	Control panels	90-65-50
90-65-50/350	Motorized valves	90-65-50
90-65-50/360	Radio based equipment	90-65-50
90-65-50/370	Air quality sensors	90-65-50
90-65-50/380	Air temperature sensors	90-65-50
90-65-50/390	Flow in duct sensors	90-65-50
90-65-50/400	Flow in pipe sensors	90-65-50
90-65-50/410	Humidity sensors	90-65-50
90-65-50/420	Pressure sensors	90-65-50
90-65-50/430	Water temperature sensors	90-65-50
90-65-50/450	Manual control switches	90-65-50
90-65-50/460	Field controllers	90-65-50
90-65-50/470	Float switches	90-65-50
90-65-55	Monitoring, metering and test products	90-65
90-65-55/310	Analogue metering equipment	90-65-55
90-65-55/315	Current transformers	90-65-55
90-65-55/320	Digital metering equipment	90-65-55
90-65-55/325	Digital multifunction metering equipment	90-65-55
90-65-55/330	Earth proving/ monitoring systems	90-65-55
90-65-55/335	Electronic combined current and voltage sensors	90-65-55
90-65-55/340	Energy meter	90-65-55
90-65-55/360	Loop field strength meters	90-65-55
90-65-55/380	Radio teleswitches for tariff and load control	90-65-55
90-65-55/385	Residual current monitoring devices	90-65-55
90-65-55/390	Timeswitches for tariff and load control	90-65-55
90-65-55/400	Secondary gas meters	90-65-55
90-65-55/410	Fuel meters	90-65-55
90-65-55/420	Oil meters	90-65-55
90-65-55/430	Heat meters	90-65-55
90-65-55/440	Orifice plate flow meters	90-65-55
90-65-55/450	Spring loaded variable area flow meters	90-65-55
90-65-55/460	Vortex flow meters	90-65-55
90-65-55/470	Water meters	90-65-55
90-70	Communications products	90
90-70-05	Assistance call products	90-70
90-70-05/310	Radio based equipment for emergency voice communication	90-70-05
90-70-05/320	Pull cord units	90-70-05
90-70-05/330	Press button units	90-70-05
90-70-05/340	Disabled refuge outstations	90-70-05
90-70-05/350	Overdoor indicators	90-70-05
90-70-05/360	Remote indicators	90-70-05
90-70-05/370	Disabled refuge master station	90-70-05
90-70-05/380	Reset units	90-70-05
90-70-05/390	Power supply units	90-70-05
90-70-05/400	Battery backup supply	90-70-05
90-70-05/410	Acoustic hoods	90-70-05
90-70-05/420	Portable communicators	90-70-05
90-70-10	Audio and video products	90-70
90-70-10/310	Voice alarm system power amplifiers	90-70-10
90-70-10/315	Ambient noise sensing controllers	90-70-10
90-70-10/320	Emergency microphones	90-70-10
90-70-10/325	Voice alarm loudspeakers	90-70-10
90-70-10/330	Voice alarm automatic message generators	90-70-10
90-70-10/335	Headsets and headphones	90-70-10
90-70-10/340	Microphones	90-70-10
90-70-10/345	Pre-amplifiers	90-70-10
90-70-10/350	Sound amplifiers	90-70-10
90-70-10/355	Mixers	90-70-10
90-70-10/360	Mixer amplifiers	90-70-10
90-70-10/365	Equalizers	90-70-10
90-70-10/370	Paging consoles	90-70-10
90-70-10/375	Tuners	90-70-10
90-70-10/380	Cassette players	90-70-10
90-70-10/385	Compact disc players	90-70-10
90-70-10/390	Ambient noise level sensors	90-70-10
90-70-10/395	Artificial reverberation, time delay and frequency shift equipment	90-70-10
90-70-10/400	Automatic gain control devices	90-70-10
90-70-10/405	Automatic announcement equipment	90-70-10
90-70-10/410	Auxiliary passive elements	90-70-10
90-70-10/415	External source input points	90-70-10
90-70-10/420	Remote microphone input points	90-70-10
90-70-10/425	Local volume controls	90-70-10
90-70-10/435	Loudspeakers	90-70-10
90-70-10/440	Loudspeaker protective cages	90-70-10
90-70-10/445	Loudspeaker rear protective enclosures	90-70-10
90-70-10/450	Equalizers	90-70-10
90-70-10/455	Launch amplifiers	90-70-10
90-70-10/460	Masthead amplifiers	90-70-10
90-70-10/465	Multiswitches	90-70-10
90-70-10/470	Diplexers	90-70-10
90-70-10/475	Splitters	90-70-10
90-70-25	Equipment racks, cabinets and patch panels	90-70
90-70-25/310	Data equipment cabinets	90-70-25
90-70-25/320	Balanced twisted-pair cabling patch panels	90-70-25
90-70-25/330	Video recorder cabinets	90-70-25
90-70-25/340	Audio visual equipment racks	90-70-25
90-70-25/350	Wall mounted equipment backboards	90-70-25
90-70-35	Hearing and assisted listening products	90-70
90-70-35/310	Induction loop pads	90-70-35
90-70-35/320	Induction loop amplifiers	90-70-35
90-70-35/330	Induction neck loops	90-70-35
90-70-35/340	Induction-loop monitor receivers	90-70-35
90-70-35/350	Induction loop signal generator	90-70-35
90-70-35/360	Induction loop transformers	90-70-35
90-70-35/365	Induction loop reassurance indicators	90-70-35
90-70-35/370	Headsets	90-70-35
90-70-35/380	Bodypack receivers	90-70-35
90-70-35/390	Stethosets	90-70-35
90-70-35/400	Modulators	90-70-35
90-70-35/410	Infrared radiators	90-70-35
90-70-55	Nurse call products	90-70
90-70-55/310	Products generally	90-70-55
90-70-55/320	Patient handsets	90-70-55
90-70-55/330	Patient pull cords	90-70-55
90-70-55/335	Patient call buttons	90-70-55
90-70-55/337	Patient call reset buttons	90-70-55
90-70-55/340	Nurse emergency pull-switches	90-70-55
90-70-55/345	Combined nurse emergency/ patient call buttons	90-70-55
90-70-55/350	Visual indicators	90-70-55
90-70-55/370	Power supply units	90-70-55
90-70-55/380	Call indicator panels	90-70-55
90-70-75	Signal receivers	90-70
90-70-75/310	UHF antennae	90-70-75
90-70-75/320	FM antennae	90-70-75
90-70-75/330	DAB antennae	90-70-75
90-70-75/340	Satellite dishes	90-70-75
90-70-85	Telecoms products	90-70
90-70-85/310	Products generally	90-70-85
90-70-85/320	Main switching device	90-70-85
90-70-85/330	Distribution panels	90-70-85
90-70-85/340	Terminal devices	90-70-85
90-70-85/350	Payphones	90-70-85
90-70-85/360	Acoustic hoods	90-70-85
90-70-85/370	Operator consoles	90-70-85
90-70-85/380	Call information logging equipment	90-70-85
90-70-85/390	Extension ringers	90-70-85
90-70-90	Timing and scoring products	90-70
90-70-90/310	Start control units	90-70-90
90-70-90/360	Starting platforms	90-70-90
90-70-90/370	Manual push buttons	90-70-90
90-70-90/380	Touch pads	90-70-90
90-70-90/385	Relay break detectors	90-70-90
90-70-90/390	Timing system controllers	90-70-90
90-70-90/430	Touchpad storage trolley	90-70-90
90-70-90/440	Relay break detector storage trolley	90-70-90
90-70-95	Visual and audible displays and indicators	90-70
90-70-95/310	Electronic sounders	90-70-95
90-70-95/320	Visual alarm signal devices	90-70-95
90-70-95/330	Automatic sprinkler system indicator panels	90-70-95
90-70-95/340	Electronic scoreboards	90-70-95
90-70-95/350	Swimming pool starting strobe lights	90-70-95
90-75	Protection products	90
90-75-05	Access control products	90-75
90-75-05/310	Multiple technology cards	90-75-05
90-75-05/320	Magnetic swipe cards	90-75-05
90-75-05/330	Proximity cards	90-75-05
90-75-05/340	Biometric fingerprint readers	90-75-05
90-75-05/350	Magnetic swipe card readers	90-75-05
90-75-05/360	Proximity readers	90-75-05
90-75-05/370	Smart card readers and writers	90-75-05
90-75-05/400	Electric strikes and faceplates	90-75-05
90-75-05/410	Magnetic locks and strike plates	90-75-05
90-75-05/420	Shear locks and strike plates	90-75-05
90-75-05/430	Access control system controllers	90-75-05
90-75-05/440	Door controllers	90-75-05
90-75-05/450	Intercom entrance panels	90-75-05
90-75-05/460	Intercom remote handsets	90-75-05
90-75-05/470	Request to exit buttons	90-75-05
90-75-05/480	Emergency break glass units	90-75-05
90-75-10	CCTV cameras	90-75
90-75-10/310	Cameras	90-75-10
90-75-10/320	Covert cameras	90-75-10
90-75-10/330	Pan and tilt units	90-75-10
90-75-10/340	Control matrix	90-75-10
90-75-10/350	Telemetry transmitters	90-75-10
90-75-10/360	Telemetry receivers	90-75-10
90-75-10/370	Digital video recorders	90-75-10
90-75-10/380	Network video recorders	90-75-10
90-75-10/390	Time lapse video recorders	90-75-10
