
B	COMPLETE BUILDINGS/ STRUCTURES/ UNITS
V11/110	INCOMING ELECTRICITY SUPPLY	V11
V11/120	ELECTRICITY DISTRIBUTOR	V11
V11/130	ELECTRICITY SUPPLIER	V11
V11/210	DESIGN	V11
V11/220	SUPPLY CHARACTERISTICS	V11
V11/230	CONNECTING GENERATORS TO THE PUBLIC SUPPLY NETWORK	V11
V11/710	GENERAL EXECUTION	V11
V11/720	TEMPORARY ISOLATION OF EXISTING SUPPLY	V11
V11/730	STRIPPING OUT AND PERMANENT ISOLATION	V11
V11/740	CONNECTION	V11
V11/750	LOCATION	V11
V11/760	EARTHING ARRANGEMENT	V11
V11/810	SITE SUPPLY CHARACTERISTICS	V11
V11/820	PHASE SEQUENCE	V11
V11/830	DOCUMENTATION	V11
V12	GENERATOR SYSTEMS	V
V12/110	CUSTOMIZED RECIPROCATING INTERNAL COMBUSTION ENGINE DRIVEN ALTERNATING CURRENT GENERATOR SYSTEM	V12
V12/115	RECIPROCATING INTERNAL COMBUSTION ENGINE DRIVEN ALTERNATING CURRENT GENERATOR SYSTEM	V12
V12/120	SYSTEM CONFIGURATION	V12
V12/140	INTERNAL COMBUSTION ENGINE ANCILLARIES	V12
V12/210	DESIGN	V12
V12/215	LOAD CHARACTERISTICS	V12
V12/225	PERFORMANCE OF GENERATOR SYSTEMS	V12
V12/240	GENERATING SYSTEMS FOR SAFETY SERVICES	V12
V12/250	SERVICE CONDITIONS	V12
V12/260	SYSTEM MODE OF OPERATION	V12
V12/265	GENERATOR SYSTEMS OPERATING IN PARALLEL	V12
V12/270	FUEL AND OIL CONSUMPTION	V12
V12/275	DIESEL EXHAUST EMISSIONS	V12
V12/280	CONNECTING GENERATORS TO THE PUBLIC SUPPLY NETWORK	V12
V12/290	NEUTRAL EARTHING	V12
V12/310	GENERATOR SET	V12
V12/340	INTERNAL COMBUSTION ENGINES	V12
V12/345	INTERNAL COMBUSTION ENGINE ELECTRICAL EQUIPMENT	V12
V12/350	GOVERNOR	V12
V12/370	ALTERNATORS	V12
V12/380	AUTOMATIC VOLTAGE REGULATORS	V12
V12/450	CONTROL PANEL	V12
V12/460	GENERATOR ENCLOSURES	V12
V12/470	DAY TANKS	V12
V12/480	DRIP TRAYS	V12
V12/485	EMERGENCY STOP BUTTONS	V12
V12/490	LOAD BANKS	V12
V12/495	GENERATOR SET FACTORY INSPECTIONS AND TESTS	V12
V12/498	GENERATOR SET ACCEPTANCE TESTS	V12
V12/499	GENERATOR SET STANDARD FUNCTIONAL TESTS	V12
V12/510	CUSTOM GENERATOR ENCLOSURES	V12
V12/550	CUSTOM EXHAUSTS	V12
V12/560	FABRICATION PROPOSALS	V12
V12/610	STRIPPING OUT	V12
V12/620	INTERRUPTIONS TO EXISTING SUPPLIES	V12
V12/630	INSTALLING GENERATOR SYSTEMS	V12
V12/640	INSTALLING EXHAUSTS	V12
V12/650	INSTALLING CONTROL PANELS	V12
V12/655	INSTALLING EMERGENCY STOP BUTTONS	V12
V12/670	INSTALLING DRIP TRAYS	V12
V12/680	INSTALLING PERMANENT LOAD BANKS	V12
V12/910	TESTING AND COMMISSIONING GENERALLY	V12
V12/940	TESTING GENERATORS OPERATING IN PARALLEL	V12
V12/950	PADLOCKS AND KEYS	V12
V12/960	DOCUMENTATION	V12
V12/970	SPARES AND CONSUMABLES	V12
V12/980	LABELLING	V12
V12/990	MAINTENANCE	V12
V13	SMALL SCALE WIND GENERATING SYSTEMS	V
V13/110	SMALL SCALE WIND GENERATING SYSTEM	V13
V13/2	TO BE READ WITH PRELIMINARIES/ GENERAL CONDITIONS	V13
V13/210	DESIGN	V13
V13/310	WIND TURBINE	V13
V13/320	TURBINE CONTROL UNIT	V13
V13/330	INVERTERS	V13
V13/350	BATTERIES	V13
V13/360	CENTRAL BATTERY ENCLOSURES	V13
V13/370	ENERGY METER	V13
V13/380	TURBINE SUPPORT STRUCTURES	V13
V13/510	WARNING NOTICE	V13
V13/610	STRIPPING OUT	V13
V13/620	INSTALLATION GENERALLY	V13
V13/630	INSTALLATION OF A.C. SWITCH DISCONNECTORS	V13
V13/640	INSTALLATION OF INTERCONNECTING CABLING	V13
V13/650	INSTALLATION OF TURBINE CONTROL UNIT	V13
V13/655	INSTALLATION OF INVERTERS	V13
V13/657	INSTALLATION OF BATTERIES	V13
V13/658	INSTALLATION OF ENERGY METERS	V13
V13/660	INSTALLATION OF LABELLING	V13
V13/670	LABELLING OF TURBINE	V13
V13/680	EARTHING OF TURBINE SUPPORT STRUCTURE	V13
V13/690	LIGHTNING PROTECTION	V13
V13/810	INSPECTION AND TESTING	V13
V13/820	DOCUMENTATION	V13
V13/830	SPARES AND CONSUMABLES	V13
V13/840	MAINTENANCE	V13
V14	PHOTOVOLTAIC SYSTEMS	V
V14/110	GRID CONNECTED PHOTOVOLTAIC SYSTEM	V14
V14/115	STAND-ALONE PHOTOVOLTAIC SYSTEM	V14
V14/210	DESIGN	V14
V14/220	WIND UPLIFT LOADS OF PV ROOFING TILES	V14
V14/230	ELECTRICAL ARRANGEMENT	V14
V14/240	PHOTOVOLTAIC ARRAYS	V14
V14/310	PHOTOVOLTAIC MODULES	V14
V14/315	MOUNTING FRAMEWORK	V14
V14/320	BY-PASS DIODES	V14
V14/330	STRING FUSES	V14
V14/340	BLOCKING DIODES	V14
V14/350	D.C. JUNCTION BOXES	V14
V14/380	D.C. BATTERY CHARGE CONTROLLERS	V14
V14/385	ENERGY METERS	V14
V14/390	STORAGE BATTERIES	V14
V14/400	CENTRAL BATTERY ENCLOSURES	V14
V14/410	POWER CONDITIONING UNITS	V14
V14/610	STRIPPING OUT	V14
V14/620	INSTALLATION GENERALLY	V14
V14/630	INSTALLING PV ARRAYS	V14
V14/640	FRAMEWORK FOR MOUNTING MULTIBOX ASSEMBLIES	V14
V14/650	INSTALLING COMPONENTS	V14
V14/670	INSTALLING A.C. ISOLATION SWITCHES	V14
V14/675	INSTALLING D.C. ISOLATION SWITCHES	V14
V14/680	INSTALLING A.C. SWITCHBOARDS	V14
V14/685	INSTALLING D.C. SWITCHBOARDS	V14
V14/710	INSTALLING BATTERY CHARGE CONTROLLERS	V14
V14/720	INSTALLING BATTERIES	V14
V14/730	INSTALLING POWER CONDITIONING UNITS	V14
V14/740	INSTALLING ENERGY METERS	V14
V14/750	INSTALLATION OF TRANSIENT OVER-VOLTAGE SURGE SUPPRESSION DEVICES	V14
V14/760	CONNECTION TO ELECTRICITY DISTRIBUTION NETWORK	V14
V14/770	INSTALLING INTERCONNECTING CABLES	V14
V14/780	EARTHING AND EQUIPOTENTIAL BONDING	V14
V14/790	CONNECTION TO LIGHTNING PROTECTION SYSTEM	V14
V14/810	GRID CONNECTION	V14
V14/820	LABELLING	V14
V14/830	CLEANING AND GENERAL INSPECTION	V14
V14/840	TESTING AND COMMISSIONING GENERALLY	V14
V14/850	PRE-GRID CONNECTION COMMISSIONING TESTS	V14
V14/860	DOCUMENTATION	V14
V14/870	SPARES AND CONSUMABLES	V14
V14/880	MAINTENANCE	V14
V20	HIGH VOLTAGE DISTRIBUTION SYSTEMS	V
V20/110	HIGH VOLTAGE DISTRIBUTION SYSTEM	V20
V20/120	PRE-DESIGN SURVEYS AND DATA COLLECTION OF EXISTING HIGH VOLTAGE DISTRIBUTION SYSTEMS	V20
V20/210	DESIGN OF HIGH VOLTAGE DISTRIBUTION SYSTEMS	V20
V20/220	GRADING STUDY	V20
V20/230	DATA LOGGING OF EXISTING HIGH VOLTAGE DISTRIBUTION SYSTEMS	V20
V20/240	THERMAL VIDEO IMAGING SURVEYS OF EXISTING HIGH VOLTAGE DISTRIBUTION SYSTEMS	V20
V20/610	STRIPPING OUT	V20
V20/620	INSTALLING HIGH VOLTAGE DISTRIBUTION SYSTEMS	V20
V20/810	TESTING AND INSPECTION OF SWITCHGEAR GENERALLY	V20
V20/820	CALIBRATION CERTIFICATES	V20
V20/830	DOCUMENTATION	V20
V20/840	SPARES AND CONSUMABLES FOR SWITCHGEAR	V20
V20/845	SPARES AND CONSUMABLES FOR DRY TYPE TRANSFORMERS	V20
V20/850	MAINTENANCE	V20
V21	HIGH VOLTAGE SWITCHGEAR	V
V21/310	HIGH VOLTAGE SWITCHGEAR GENERALLY	V21
V21/320	HIGH VOLTAGE SWITCHBOARDS	V21
V21/330	RING MAIN UNITS	V21
V21/340	HIGH VOLTAGE EARTHING SWITCHES	V21
V21/345	HIGH VOLTAGE FUSES	V21
V21/350	HIGH VOLTAGE CIRCUIT BREAKERS	V21
V21/360	HIGH VOLTAGE DISCONNECTORS	V21
V21/370	HIGH VOLTAGE SWITCHES	V21
V21/380	HIGH VOLTAGE SWITCH-DISCONNECTORS	V21
V21/390	HIGH VOLTAGE SWITCH-FUSE COMBINATIONS	V21
V21/410	HIGH VOLTAGE BUSBARS	V21
V21/420	AMMETERS AND VOLTMETERS	V21
V21/421	FREQUENCY METERS	V21
V21/422	PHASE METERS AND POWER FACTOR METERS	V21
V21/423	WATTMETERS	V21
V21/430	CURRENT TRANSFORMERS	V21
V21/440	DIGITAL MULTIFUNCTION METERING EQUIPMENT	V21
V21/450	ELECTRONIC COMBINED CURRENT AND VOLTAGE SENSORS	V21
V21/460	INDICATOR LAMPS	V21
V21/478	SAFETY MATTING	V21
V21/480	HIGH VOLTAGE SWITCHGEAR TRIPPING UNITS	V21
V21/490	VOLTAGE TRANSFORMERS	V21
V21/495	PADLOCKS AND KEYS	V21
V21/496	PADLOCK AND KEY CABINETS	V21
V21/510	SWITCHGEAR GENERALLY	V21
V21/515	PROPOSALS	V21
V21/530	CUSTOM ENCLOSURES	V21
V21/590	FACTORY INSPECTIONS AND TESTS	V21
V21/610	ALTERATIONS TO EXISTING SWITCHGEAR	V21
V21/620	INSTALLATION GENERALLY	V21
V21/630	CONNECTIONS	V21
V21/640	INSTALLING METERING EQUIPMENT	V21
V21/650	CLEANING AND GENERAL INSPECTION	V21
V21/660	LABELLING	V21
V21/670	PADLOCKS AND KEYS	V21
V21/680	INSTALLING PADLOCK AND KEY CABINETS	V21
V22	FLUID IMMERSED TRANSFORMERS	V
V22/310	TRANSFORMER	V22
V22/320	PADLOCKS AND KEYS	V22
V22/510	FACTORY INSPECTIONS	V22
V22/610	INSTALLATION GENERALLY	V22
V22/620	INSTALLING CONTROLS, INDICATORS AND ALARMS	V22
V22/630	CLEANING AND GENERAL INSPECTION	V22
V22/640	TESTING AND COMMISSIONING	V22
V22/650	OIL TESTS	V22
V23	DRY-TYPE TRANSFORMERS	V
V23/310	TRANSFORMER	V23
V23/320	PADLOCKS AND KEYS	V23
V23/510	FACTORY INSPECTIONS	V23
V23/610	INSTALLATION GENERALLY	V23
V23/620	INSTALLING CONTROLS, INDICATORS AND ALARMS	V23
V23/630	CLEANING AND GENERAL INSPECTION	V23
V23/640	TESTING AND COMMISSIONING	V23
V24	HIGH VOLTAGE CABLING	V
V24/310	HIGH VOLTAGE CABLES GENERALLY	V24
V24/320	PAPER INSULATED CABLES	V24
V24/330	THERMOSETTING INSULATION CABLES	V24
V24/340	LOW SMOKE THERMOSETTING INSULATION CABLES	V24
V24/350	EXTRUDED INSULATION CABLES	V24
V24/360	HIGH VOLTAGE CABLE TERMINATIONS	V24
V24/370	UNDERGROUND PLASTICS CABLE PROTECTION COVERS	V24
V24/380	UNDERGROUND CONCRETE CABLE PROTECTION COVERS	V24
V24/390	PLASTICS DUCTS FOR UNDERGROUND CABLES	V24
V24/400	UNDERGROUND CABLE MARKER TAPE	V24
V24/610	INSTALLING HIGH VOLTAGE CABLES	V24
V24/620	EXCAVATIONS	V24
V24/630	INSTALLING PAPER INSULATED CABLES	V24
V24/635	INSTALLING THERMOSETTING INSULATION CABLES	V24
V24/640	INSTALLING LOW SMOKE THERMOSETTING INSULATION CABLES	V24
V24/650	CABLES IN TRENCHES	V24
V24/670	CABLES IN DUCTS	V24
V24/680	PROTECTION TAPE FOR BURIED ELECTRICITY SUPPLY CABLE	V24
V24/690	INSTALLING HIGH VOLTAGE CABLE JOINTS	V24
V24/700	CABLE TESTING AND INSPECTION	V24
V30	LOW VOLTAGE DISTRIBUTION SYSTEMS	V
V30/110	LOW VOLTAGE DISTRIBUTION SYSTEM	V30
V30/210	DESIGN	V30
V30/215	SURVEYS AND DATA COLLECTION	V30
V30/220	GRADING STUDY	V30
V30/410	STRIPPING OUT	V30
V30/420	INSTALLING LOW VOLTAGE DISTRIBUTION SYSTEMS	V30
V30/430	ELECTRICAL PROPERTY MEASUREMENT	V30
V30/440	THERMAL VIDEO IMAGING SURVEYS	V30
V30/450	CONNECTION TO THE INCOMING SUPPLY	V30
V30/920	DOCUMENTATION	V30
V30/925	SURVEYS AND DATA COLLECTION	V30
V30/930	MAINTENANCE	V30
V31	LOW VOLTAGE SWITCHGEAR	V
V31/310	LOW VOLTAGE SWITCHGEAR GENERALLY	V31
V31/320	DISTRIBUTION BOARDS AND CONSUMER UNITS	V31
V31/330	CUBICLE SWITCHBOARDS	V31
V31/340	MULTI BOX ASSEMBLIES	V31
V31/350	CABLE DISTRIBUTION CABINETS	V31
V31/360	PROTECTIVE DEVICES GENERALLY	V31
V31/365	CIRCUIT BREAKERS	V31
V31/367	'J' - TYPE FEEDER PILLAR FUSES	V31
V31/370	RESIDUAL CURRENT CIRCUIT BREAKERS	V31
V31/375	SWITCHES, DISCONNECTORS, SWITCH-DISCONNECTORS AND FUSE COMBINATION UNITS	V31
V31/380	TRANSFER SWITCHING EQUIPMENT (TSE)	V31
V31/385	CONTROL AND PROTECTIVE SWITCHING DEVICES	V31
V31/390	RESIDUAL CURRENT CIRCUIT BREAKERS WITH INTEGRAL OVERCURRENT PROTECTION	V31
V31/400	MINIATURE CIRCUIT BREAKERS	V31
V31/405	LOW VOLTAGE FUSES	V31
V31/410	CARTRIDGE FUSES	V31
V31/415	FUSE LINKS	V31
V31/420	BUSBARS	V31
V31/425	ANALOGUE METERING EQUIPMENT	V31
V31/430	CURRENT TRANSFORMERS	V31
V31/435	DIGITAL METERING EQUIPMENT	V31
V31/440	INDICATOR LAMPS	V31
V31/445	PADLOCKS AND KEYS	V31
V31/450	PADLOCK AND KEY CABINETS	V31
V31/455	RADIO TELESWITCHES FOR TARIFF AND LOAD CONTROL	V31
V31/460	RESIDUAL CURRENT MONITORING DEVICES	V31
V31/465	SAFETY MATTING	V31
V31/470	SWITCHGEAR TRIPPING UNITS	V31
V31/475	TIMESWITCHES FOR TARIFF AND LOAD CONTROL	V31
V31/480	MOUNTING FRAMEWORK COMPONENTS	V31
V31/490	ENCLOSURES FOR PROTECTIVE DEVICES AND ACCESSORIES	V31
V31/510	CUSTOM ENCLOSURES FOR CUBICLE SWITCHBOARDS	V31
V31/515	PROPOSALS	V31
V31/540	LAYOUT	V31
V31/560	WITHDRAWABLE DEVICES	V31
V31/580	FACTORY INSPECTIONS	V31
V31/610	ALTERATIONS TO EXISTING SWITCHGEAR	V31
V31/620	INSTALLING SWITCHGEAR GENERALLY	V31
V31/640	INSTALLING METERING EQUIPMENT	V31
V31/650	INSTALLING CURRENT TRANSFORMERS	V31
V31/660	FRAMEWORK FOR MOUNTING MULTIBOX ASSEMBLIES	V31
V31/670	INSTALLING SAFETY MATTING	V31
V31/810	TESTING AND COMMISSIONING GENERALLY	V31
V31/820	TESTING AND COMMISSIONING OF SITE-ASSEMBLED SWITCHGEAR	V31
V31/830	TESTING AND COMMISSIONING OF SWITCH TRIPPING DEVICES	V31
V31/835	SPARES AND CONSUMABLES	V31
V31/840	SPARE TOOLS	V31
V31/850	SPARE FUSES	V31
V31/860	PADLOCKS AND SPARE KEYS	V31
V31/870	LABELLING	V31
V31/880	CALIBRATION CERTIFICATES	V31
V32	LOW VOLTAGE CABLING	V
V32/310	CABLES GENERALLY	V32
V32/315	CABLES, CORDS AND CONDUCTORS IDENTIFICATION	V32
V32/320	PVC INSULATED CABLES	V32
V32/330	FLEXIBLE CORDS	V32
V32/340	INDUSTRIAL FLEXIBLE CORDS	V32
V32/350	PVC INSULATED CABLES FOR SWITCHGEAR AND CONTROL GEAR	V32
V32/360	SINGLE-CORE HEAT RESISTING INSULATING CABLES	V32
V32/370	THERMOSETTING INSULATED CABLES	V32
V32/380	THERMOSETTING INSULATED AND PVC SHEATHED CABLES (XLPE/ PVC SINGLES)	V32
V32/392	THERMOSETTING INSULATED AND PVC SHEATHED ARMOURED CABLES	V32
V32/393	THERMOSETTING INSULATED AND LSZH SHEATHED ARMOURED CABLES	V32
V32/395	THERMOSETTING INSULATED METAL SCREENED LSZH SHEATHED MULTICORE CABLES	V32
V32/410	MINERAL INSULATED CABLES	V32
V32/420	FIRE RESISTANT, INSULATED AND SHEATHED CABLES	V32
V32/430	FIRE RESISTANT, INSULATED AND SHEATHED ARMOURED CABLES	V32
V32/440	SPLIT CONCENTRIC, INSULATED AND SHEATHED CABLES	V32
V32/460	INSULATING TAPE	V32
V32/465	UNDERGROUND CABLE MARKER TAPE	V32
V32/470	UNDERGROUND PLASTICS CABLE PROTECTION COVERS	V32
V32/475	UNDERGROUND CONCRETE CABLE PROTECTION COVERS	V32
V32/480	CABLE ACCESSORIES	V32
V32/610	CABLE INSTALLATION GENERALLY	V32
V32/620	CABLE ROUTES	V32
V32/630	CABLES CONCEALED IN WALLS AND PARTITIONS	V32
V32/640	CABLES IN VERTICAL TRUNKING AND DUCTS	V32
V32/650	CABLES IN ACCESSIBLE ROOF SPACES	V32
V32/660	CABLES ON CABLE SUPPORTS	V32
V32/670	SURFACE MOUNTED CABLES	V32
V32/680	CABLES IN TRENCHES	V32
V32/700	INSTALLING CABLE DUCTS	V32
V32/710	CABLES IN DUCTS	V32
V32/720	CABLES IN CONDUIT AND TRUNKING	V32
V32/730	INSTALLING MINERAL INSULATED COPPER SHEATHED CABLES	V32
V32/740	INSTALLING ARMOURED CABLES	V32
V32/750	INSTALLING FLEXIBLE CORDS	V32
V32/760	JOINTING AND TERMINATING ARMOURED CABLES	V32
V32/770	JOINTING AND TERMINATING ELASTOMER AND PLASTICS INSULATED CABLE	V32
V32/780	TERMINATING MINERAL INSULATED CABLES	V32
V32/790	MINERAL INSULATED CABLE JOINTS	V32
V33	BUSBAR TRUNKING	V
V33/310	LIGHTING BUSBAR TRUNKING	V33
V33/320	POWER BUSBAR TRUNKING	V33
V33/340	TAP-OFF UNITS	V33
V33/350	FEED UNITS	V33
V33/370	FIRE BARRIER UNITS	V33
V33/605	INSTALLING BUSBAR TRUNKING GENERALLY	V33
V33/610	INSTALLING LIGHTING BUSBAR TRUNKING	V33
V33/620	INSTALLING POWER BUSBAR TRUNKING	V33
V33/630	INSTALLING TAP OFF UNITS	V33
V33/640	INSTALLING FEED UNITS	V33
V33/650	INSTALLING FIRE BARRIER UNITS	V33
V33/660	ALTERATIONS TO EXISTING BUSBAR TRUNKING	V33
V33/810	CLEANING	V33
V33/820	TESTING AND COMMISSIONING GENERALLY	V33
V33/830	TESTING AND COMMISSIONING OF SITE-ASSEMBLED BUSBAR TRUNKING	V33
V33/840	SPARE TOOLS	V33
V33/850	LABELLING	V33
V33/860	DOCUMENTATION	V33
V34	CONTROLS AND STARTERS	V
V34/310	A.C. SEMICONDUCTOR MOTOR CONTROLLERS AND STARTERS	V34
V34/320	ELECTROMECHANICAL CONTACTORS AND MOTOR STARTERS	V34
V34/330	TWO STEP AUTOTRANSFORMER STARTERS	V34
V34/340	ELECTROMECHANICAL CONTROL CIRCUIT DEVICES	V34
V34/370	VARIABLE SPEED DRIVES, INVERTERS AND A.C. DRIVES	V34
V34/380	MOTOR PROTECTION RELAYS	V34
V34/390	POWER SUPPLIES FOR CONTROL EQUIPMENT	V34
V34/410	RUN AND STANDBY CONTROLS	V34
V34/420	ENCLOSURES	V34
V34/440	MOTOR CONTROL ENCLOSURES	V34
V34/470	INDICATOR LAMPS	V34
V34/510	WARNING NOTICE	V34
V34/810	TESTING AND COMMISSIONING	V34
V34/820	SPARE FUSES	V34
V34/830	LABELLING	V34
V36	AUTOMATIC POWER FACTOR CORRECTION EQUIPMENT	V
V36/310	AUTOMATIC POWER FACTOR CORRECTION EQUIPMENT	V36
V36/320	SEPARATE ENCLOSURES FOR POWER FACTOR CORRECTION EQUIPMENT	V36
V36/610	INSTALLING POWER FACTOR CORRECTION EQUIPMENT	V36
V36/620	POWER FACTOR ANALYSIS	V36
V36/630	FRAMEWORK FOR MOUNTING POWER FACTOR CORRECTION EQUIPMENT	V36
V36/680	FACTORY INSPECTIONS OF POWER FACTOR CORRECTION EQUIPMENT	V36
V37	HARMONIC FILTERING EQUIPMENT	V
V37/310	ACTIVE FILTERS	V37
V37/320	PASSIVE FILTERS	V37
V37/330	HYBRID FILTERS	V37
V37/610	GENERAL INSTALLATION	V37
V37/620	SURVEY	V37
V37/630	INSTALLING HARMONIC FILTERS	V37
V37/640	INSTALLING CLOSE COUPLED ACTIVE FILTERS	V37
V37/650	INSTALLING CURRENT TRANSFORMERS (CTS)	V37
V37/810	INSPECTION, TESTING AND COMMISSIONING GENERALLY	V37
V39	ELECTRICAL INSPECTION AND TESTING	V
V39/810	ELECTRICAL INSPECTION AND TESTING TYPE	V39
V39/815	ELECTRICAL TEST ENGINEER	V39
V39/820	GENERAL	V39
V39/830	PERIODIC INSPECTIONS	V39
V39/840	TEST EQUIPMENT CALIBRATION	V39
V39/850	INSPECTION AND TEST RESULTS	V39
V39/860	ELECTRICAL INSTALLATION CERTIFICATES	V39
V39/870	MINOR ELECTRICAL INSTALLATION WORKS CERTIFICATES	V39
V39/880	PERIODIC INSPECTION REPORTS	V39
V40	SMALL POWER SYSTEMS	V
V40/110	HARD WIRED LOW VOLTAGE SMALL POWER SYSTEM	V40
V40/120	LOW VOLTAGE SMALL POWER SYSTEM WITH PREFABRICATED WIRING	V40
V40/210	DESIGN	V40
V40/220	HAND DRIERS	V40
V40/230	MULTI-GANG POWER OUTLETS	V40
V40/310	HAND DRIERS	V40
V40/330	MULTI-GANG POWER OUTLETS	V40
V40/335	PREFABRICATED CABLING PRODUCTS GENERALLY	V40
V40/340	PREFABRICATED LSZH INSULATED SINGLES IN FLEXIBLE CONDUIT	V40
V40/345	PREFABRICATED LSZH INSULATED AND SHEATHED MULTI-CORE	V40
V40/350	CONNECTION CABLES	V40
V40/355	MASTER DISTRIBUTION BOXES	V40
V40/360	SLAVE DISTRIBUTION BOXES	V40
V40/365	HOME RUN CABLES	V40
V40/370	STARTER LEADS	V40
V40/375	'T' CONNECTORS	V40
V40/610	SMALL POWER INSTALLATION	V40
V40/620	STRIPPING OUT	V40
V40/630	INSTALLING CABLING TO SOCKET OUTLETS	V40
V40/640	INSTALLING FINAL CONNECTIONS	V40
V40/650	PARTIAL INSTALLATION	V40
V40/660	INSTALLING HAND DRIERS	V40
V40/670	INSTALLING PREFABRICATED WIRING	V40
V40/820	DOCUMENTATION	V40
V40/830	MAINTENANCE	V40
V44	UNINTERRUPTIBLE POWER SUPPLIES	V
V44/310	UNINTERRUPTIBLE POWER SUPPLY (UPS) EQUIPMENT	V44
V44/320	SITE SPECIFIC SERVICE CONDITIONS	V44
V44/330	EXISTING INPUT POWER SUPPLY	V44
V44/340	MANUFACTURER'S INFORMATION	V44
V44/350	BATTERIES	V44
V44/360	BATTERY MONITORS	V44
V44/365	BATTERY SHELVING RACKS	V44
V44/370	CONTROLS, INDICATORS AND ALARMS	V44
V44/380	CUSTOM ENCLOSURES	V44
V44/390	FACTORY TESTS	V44
V44/610	INSTALLATION GENERALLY	V44
V44/620	INSTALLING BATTERIES	V44
V44/630	INSTALLING EXTERNAL MAINTENANCE BYPASS	V44
V44/640	INSTALLING CONTROLS, INDICATORS AND ALARMS	V44
V44/810	CLEANING AND GENERAL INSPECTION	V44
V44/815	LABELLING	V44
V44/820	TESTING AND COMMISSIONING	V44
V44/840	DOCUMENTATION	V44
V44/850	MAINTENANCE	V44
V50	GENERAL LIGHTING SYSTEMS	V
V50/110	HARD WIRED GENERAL LIGHTING SYSTEM	V50
V50/120	GENERAL LIGHTING SYSTEM WITH PREFABRICATED WIRING	V50
V50/210	DESIGN	V50
V50/220	PERFORMANCE	V50
V50/230	MAINTENANCE FACTOR CALCULATIONS	V50
V50/240	LUMINAIRE AND LAMP MAINTENANCE PROPERTIES	V50
V50/250	LIGHTING CALCULATIONS	V50
V50/305	PREFABRICATED WIRING PRODUCTS GENERALLY	V50
V50/310	CEILING ROSES	V50
V50/315	HOME RUN CABLES	V50
V50/320	LIGHTING CIRCUIT DISTRIBUTION BOXES	V50
V50/330	LUMINAIRE SUPPORTING COUPLERS	V50
V50/335	PREFABRICATED LSZH INSULATED SINGLES IN FLEXIBLE CONDUIT	V50
V50/340	PRE-FABRICATED LSZH INSULATED AND SHEATHED MULTI-CORE	V50
V50/345	LIGHTING EXTENDER LEADS	V50
V50/350	LUMINAIRE CONNECTION CABLES	V50
V50/355	MASTER DISTRIBUTION BOXES	V50
V50/360	SWITCH CONNECTION LEADS	V50
V50/365	STARTER LEADS	V50
V50/370	SWITCH MODULES	V50
V50/375	T CONNECTORS	V50
V50/380	RJ45 CABLES	V50
V50/610	INSTALLING GENERAL LIGHTING SYSTEMS	V50
V50/620	STRIPPING OUT	V50
V50/630	MODIFYING EXISTING LIGHTING SYSTEMS	V50
V50/640	LIGHTING CIRCUITS	V50
V50/650	MANUAL CONTROLS	V50
V50/660	INSTALLING PREFABRICATED WIRING	V50
V50/805	TESTING AND INSPECTION OF FIXED ELECTRICAL WIRING	V50
V50/810	TESTING AND COMMISSIONING OF GENERAL LIGHTING SYSTEMS	V50
V50/820	PHOTOMETRIC SURVEY	V50
V50/830	DOCUMENTATION	V50
V50/840	MAINTENANCE	V50
V51	AUTOMATIC LIGHTING CONTROLS	V
V51/330	TIME SWITCHES	V51
V51/340	PHOTOELECTRIC CONTROL UNITS	V51
V51/350	DAYLIGHT SENSORS	V51
V51/360	EXTRA-LOW VOLTAGE OCCUPANCY SENSORS	V51
V51/370	MAINS VOLTAGE OCCUPANCY SENSORS	V51
V51/380	COMBINED DAYLIGHT AND OCCUPANCY SENSORS	V51
V51/390	REMOTE INFRARED CONTROLLERS	V51
V51/410	CENTRAL CONTROLLERS	V51
V51/610	INSTALLATION GENERALLY	V51
V51/620	CABLE INSTALLATION GENERALLY	V51
V51/630	INSTALLING PHOTOELECTRIC CONTROL UNITS	V51
V51/640	INSTALLING DAYLIGHT SENSORS	V51
V51/650	INSTALLING OCCUPANCY SENSORS	V51
V51/660	INSTALLING CENTRAL CONTROLLERS	V51
V51/810	CLEANING AND CABLE INSPECTIONS	V51
V51/815	LABELLING	V51
V51/820	TESTING AND COMMISSIONING	V51
V51/840	SPARES AND CONSUMABLES	V51
V55	SELF-CONTAINED EMERGENCY LIGHTING AND SIGNAGE SYSTEMS	V
V55/110	SELF-CONTAINED EMERGENCY LIGHTING AND SIGNAGE SYSTEM	V55
V55/130	OPTICAL FIBRE EMERGENCY LIGHTING SYSTEM	V55
V55/210	DESIGN	V55
V55/220	OPTICAL FIBRE EMERGENCY LIGHTING SYSTEMS DESIGN	V55
V55/230	DEFINED ESCAPE ROUTE LIGHTING DESIGN	V55
V55/231	ELECTRICAL LOW MOUNTED WAY-GUIDANCE LIGHTING DESIGN	V55
V55/232	PHOTOLUMINESCENT LOW MOUNTED WAY-GUIDANCE LIGHTING DESIGN	V55
V55/235	OPEN AREA LIGHTING DESIGN	V55
V55/237	HIGH RISK TASK AREA LIGHTING DESIGN	V55
V55/240	STANDBY LIGHTING DESIGN	V55
V55/270	EMERGENCY LIGHTING CALCULATIONS	V55
V55/320	EMERGENCY LUMINAIRES GENERALLY	V55
V55/330	GENERAL LUMINAIRES RE-ENGINEERED FOR EMERGENCY USE	V55
V55/340	OPTICAL FIBRE EMERGENCY LIGHTING	V55
